Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+shannon_entropy+aromaticity+helix+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4467.51951043722;33.04980312097902;52922092.57499683;(0.4826284565093239, 1.0335146480421778e-09)
aa_freq+shannon_entropy+aromaticity+helix+sheet+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4990.444255512185;33.955523400699306;487897.6390775645;(0.44465871963752274, 2.6417998343782686e-08)
aa_freq+shannon_entropy+aromaticity+helix+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4464.949752290367;32.840131792307695;52922089.00879665;(0.48184540632523976, 1.1094659496019655e-09)
aa_freq+shannon_entropy+aromaticity+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3216.1471491879474;29.75560273636363;758846.0945610238;(0.6096773512896942, 6.411071396332483e-16)
aa_freq+shannon_entropy+aromaticity+turn+sheet+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4990.444255512185;33.955523400699306;487897.6390775645;(0.44465871963752274, 2.6417998343782686e-08)
aa_freq+shannon_entropy+aromaticity+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4408.966451339318;32.318998925174824;52921956.17680699;(0.49033073139757966, 5.095800892795022e-10)
aa_freq+shannon_entropy+aromaticity+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4181.5424840707865;32.40556535874126;1135612.1688529844;(0.5189681834826594, 3.1330593360922447e-11)
aa_freq+shannon_entropy+aromaticity+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3617.1492921372483;31.789962876223775;758862.2373307695;(0.5736980415693808, 6.917047333160656e-14)
aa_freq+shannon_entropy+helix+turn+sheet+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4990.444255512185;33.955523400699306;487897.6390775645;(0.44465871963752274, 2.6417998343782686e-08)
aa_freq+shannon_entropy+helix+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4433.7300400456115;32.51973319090909;52922091.46668095;(0.4867668113605168, 7.083694802349154e-10)
