Data;Best_params;MSE;MAE;MAPE;PCC
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+helix+turn+gravy;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5033.922149141773;42.211875810751955;159.15316201214677;(0.3797958380475752, 0.03508226584417504)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+helix+turn+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5178.795321859867;42.17260810434438;145.1096257739702;(0.3710767241867065, 0.03986014222374566)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+helix+sheet+gravy;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5014.277501777336;41.75079401901364;157.30807973704805;(0.3750698956327551, 0.03761091715257414)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+helix+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};5377.27578290166;43.80978699621133;190.54286231751414;(0.3082019260300974, 0.09163765090603601)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+helix+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5015.814549053191;41.23387542695584;144.11424512419373;(0.408228154070013, 0.022615699017813257)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+turn+sheet+gravy;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'};5552.711460305886;47.02179319558474;256.4040441401548;(0.13389537382525024, 0.47269215418441946)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};5364.004140353411;43.64538181427863;190.48998134932052;(0.30835282338777426, 0.09147069299637085)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5014.975624033812;41.22175842226546;144.18412585592134;(0.4068312551162597, 0.02312825516949361)
dipep_freq+shannon_entropy+net_contact_energy+aromaticity+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};5250.231387335981;43.933325052758335;194.67748961128729;(0.32725758179129466, 0.07232492013779726)
dipep_freq+shannon_entropy+net_contact_energy+helix+turn+sheet+gravy;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};4982.915702195883;41.72948478341562;157.62105225554222;(0.3891097868817401, 0.03050106871705831)
