Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+dipep_freq+residue_repeats+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}";3345.606231330684;30.37274339836513;324182.9978839958;(0.6815388586520915, 7.36973638696576e-21)
aa_freq+dipep_freq+residue_repeats+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}";4033.837479573554;31.47921150168178;214182.2576930952;(0.6512756038052954, 1.2883930568254237e-18)
aa_freq+dipep_freq+residue_repeats+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";3354.922731215357;30.181589023916956;157728.7125067679;(0.6963051003973457, 4.703967251389421e-22)
aa_freq+dipep_freq+residue_repeats+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3395.68223705315;29.790156323470324;748762.503786119;(0.6719221899008939, 4.0618755616704927e-20)
aa_freq+dipep_freq+residue_repeats+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}";3715.966295336332;30.94141834854148;398271.06443407945;(0.6873376460854811, 2.5505377446631087e-21)
aa_freq+dipep_freq+residue_repeats+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";3549.727444171861;30.095101442291746;98471.58095696024;(0.7014217893212528, 1.7431763853490081e-22)
aa_freq+dipep_freq+residue_repeats+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3457.4122516130146;29.845899257801253;477049.71215618413;(0.6607480443195808, 2.7285348083400833e-19)
aa_freq+dipep_freq+residue_repeats+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}";3684.46893667206;30.744741352034374;116543.11076405947;(0.6841293027480037, 4.60163123696906e-21)
aa_freq+dipep_freq+residue_repeats+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}";4021.041641840021;31.271613246881188;492640.7476116948;(0.6215987071574733, 1.1885584804355847e-16)
aa_freq+dipep_freq+residue_repeats+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";3609.7174944581275;30.141717969616092;769337.7561046132;(0.6315569001191943, 2.7495132536317906e-17)
aa_freq+dipep_freq+aromaticity+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3292.558160292834;28.031307034676107;924889.4613665543;(0.6005372884623298, 2.2264120130888975e-15)
aa_freq+dipep_freq+aromaticity+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3004.514891476189;28.8177437610799;262431.2938508137;(0.6614179893744594, 2.439656733198469e-19)
aa_freq+dipep_freq+aromaticity+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2795.357239772556;27.620934003327267;3538180.9288796093;(0.7094154575987391, 3.5414496757017335e-23)
aa_freq+dipep_freq+aromaticity+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3265.141853125816;29.241655212708867;109439.2073613587;(0.6436040926700072, 4.352173641073355e-18)
aa_freq+dipep_freq+aromaticity+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3298.8943329498356;28.18278215483643;2067284.3993649592;(0.5997669525049261, 2.468255337743858e-15)
aa_freq+dipep_freq+aromaticity+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";3176.982314134135;28.496544571318136;744533.067248068;(0.7130201508249472, 1.695693954124973e-23)
aa_freq+dipep_freq+aromaticity+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3554.2256578716665;28.57636245267064;162943.51825676122;(0.6245124418965868, 7.786670408988125e-17)
aa_freq+dipep_freq+aromaticity+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2770.8938750521475;27.353906018117897;776309.4825523625;(0.7116631556485591, 2.2403961149198785e-23)
aa_freq+dipep_freq+aromaticity+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3615.4407096697114;29.335476552837584;195979.10491094328;(0.5961620279777362, 3.984567328619225e-15)
aa_freq+dipep_freq+aromaticity+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3806.4361237548196;30.30378849329932;139989.85423912416;(0.5822890092412477, 2.3828084378571378e-14)
aa_freq+dipep_freq+helix+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3190.9750167919156;27.67940277630615;2084213.6163075021;(0.6135393163098894, 3.742884329300009e-16)
aa_freq+dipep_freq+helix+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";3152.427179284287;28.668488588624683;1384637.923722583;(0.7201402288674306, 3.8275687506801115e-24)
aa_freq+dipep_freq+helix+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3112.2206821928685;28.162384983960408;87642.86637902059;(0.668903024336813, 6.85107041195187e-20)
aa_freq+dipep_freq+helix+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2782.469124974875;27.698122507805888;2774019.069028837;(0.7101545271935988, 3.047921131970425e-23)
aa_freq+dipep_freq+helix+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3419.943793756635;29.446977482187595;53868.124806162654;(0.6269703056359943, 5.4314614637671e-17)
aa_freq+dipep_freq+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}";3800.0968308900883;30.389250402522343;155361.03492054605;(0.5897854682517965, 9.16198833653123e-15)
aa_freq+dipep_freq+turn+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3032.276707614118;28.446780713214803;1140289.684758937;(0.6563882053524581, 5.613110999192446e-19)
aa_freq+dipep_freq+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3300.3676009125743;28.706065031340007;165542.00490948724;(0.6601431494246532, 3.017899200714296e-19)
aa_freq+dipep_freq+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";3644.761485872999;30.123178817684433;98912.25950659413;(0.601278404705504, 2.01560843142067e-15)
aa_freq+dipep_freq+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3867.030118004424;30.895994463694333;101351.5706560926;(0.5373393856274498, 4.543597497568822e-12)
aa_freq+avg_protvec+shannon_entropy+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3008.0589062072445;27.963714603847368;742057.901428184;(0.6583201837316458, 4.083399814484375e-19)
aa_freq+avg_protvec+shannon_entropy+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3020.5131568303814;27.986407489976973;743221.4784955275;(0.656693022129713, 5.339114270068789e-19)
