Data;Best_params;MSE;MAE;MAPE;PCC
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+sheet;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3494.1477841341593;27.88178004405595;9454906.012677018;(0.579515570766171, 3.3727653885784526e-14)
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+gravy;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3545.5599177187746;27.839409414685313;12478860.267164482;(0.5757652385222175, 5.3676301408140434e-14)
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3638.7117605970957;28.144381442657345;5138978.25175577;(0.5665106490813496, 1.6478811571122964e-13)
aa_freq+avg_protvec+shannon_entropy+paac+aromaticity+helix;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3912.622222553304;29.50671920489511;1136868.8119028802;(0.6303493995970006, 3.292839282536473e-17)
aa_freq+avg_protvec+shannon_entropy+paac+aromaticity+turn;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3912.622222553304;29.50671920489511;1136868.8119028802;(0.6303493995970006, 3.292839282536473e-17)
aa_freq+avg_protvec+shannon_entropy+paac+aromaticity+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3899.7788638120455;29.435600323776224;1136868.740783999;(0.631409187833139, 2.810958343229416e-17)
aa_freq+avg_protvec+shannon_entropy+paac+aromaticity+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3914.495198003627;29.641840253846155;1269169.2065698856;(0.6203279900686424, 1.4273236551492572e-16)
aa_freq+avg_protvec+shannon_entropy+paac+aromaticity+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3783.7925322218357;30.266481442657344;5106790.320314214;(0.6334098437511274, 2.0816590413109526e-17)
aa_freq+avg_protvec+shannon_entropy+paac+helix+turn;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3912.623109965891;29.507348575524475;1136868.8795771413;(0.630351346026314, 3.291884360310441e-17)
aa_freq+avg_protvec+shannon_entropy+paac+helix+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3912.623109965891;29.507348575524475;1136868.8795771413;(0.630351346026314, 3.291884360310441e-17)
aa_freq+avg_protvec+shannon_entropy+paac+helix+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3914.495198003627;29.641840253846155;1269169.2065698856;(0.6203279900686424, 1.4273236551492572e-16)
aa_freq+avg_protvec+shannon_entropy+paac+helix+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3783.7934196344236;30.267110813286717;5106790.387988474;(0.6334117017462271, 2.0810763418899964e-17)
aa_freq+avg_protvec+shannon_entropy+paac+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3912.623109965891;29.507348575524475;1136868.8795771413;(0.630351346026314, 3.291884360310441e-17)
aa_freq+avg_protvec+shannon_entropy+paac+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3914.495198003627;29.641840253846155;1269169.2065698856;(0.6203279900686424, 1.4273236551492572e-16)
aa_freq+avg_protvec+shannon_entropy+paac+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3783.7934196344236;30.267110813286717;5106790.387988474;(0.6334117017462271, 2.0810763418899964e-17)
aa_freq+avg_protvec+shannon_entropy+paac+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3914.495198003627;29.641840253846155;1269169.2065698856;(0.6203279900686424, 1.4273236551492572e-16)
aa_freq+avg_protvec+shannon_entropy+paac+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3783.7934196344236;30.267110813286717;5106790.387988474;(0.6334117017462271, 2.0810763418899964e-17)
aa_freq+avg_protvec+shannon_entropy+paac+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3765.8590903895006;29.95985423986014;1137731.7394357277;(0.6260607124229403, 6.208273366274974e-17)
aa_freq+avg_protvec+shannon_entropy+cetd+net_contact_energy+aromaticity;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};7337.9489604019545;38.49800193216783;83611890.2044056;(0.2611850622690303, 0.0016283285676976264)
